PS_Station,Accomm_Status
"Infrastructure-BSCPL Infrastructure Ltd., Hyderabad",0
"Infrastructure-Chennai Metro Rail Limited, Chennai",0
"Infrastructure-Government Irrigation Workshop, Roorkee",0
"Infrastructure-Hyderabad Metro Rail Corporation, Hyderabad",0
"Infrastructure-Irrigation and Waste Water Department, Kolkata",0
"Infrastructure-Jaipur Development Authority, Jaipur",0
"Infrastructure-KEC International Ltd., Jaipur",0
"Infrastructure-L & T , Faridabad",0
"Infrastructure-Mormugao Port Trust, Goa",0
"Infrastructure-Mumbai Rail Vikas Corporation Ltd., Mumbai",0
"Infrastructure-Noida Metro Rail Corporation (NMRC), Noida",0
"Infrastructure-Nuvoco Vistas Corp Ltd., Kolkata",0
"Infrastructure-Pinnacle Industries Ltd., Pithampur",0
"Infrastructure-Rail Coach Factory, Kapurthala",0
"Infrastructure-Research design & Standards Organisation (RDSO), Lucknow",0
"Infrastructure-Rites Ltd, Gurgaon",0
"Infrastructure-Schindler India Pvt. Ltd., Pune",0
"Infrastructure-Vinayak Buildtech, Udaipur",0
"IT-AFour Technologies Pvt. Ltd., Pune",0
"IT-AlmaConnect, New Delhi",0
"IT-Andhra Pradesh Innovation Society, Vijayawada",0
"IT-Andhra Pradesh Innovation Society, Visakhapatnam",0
"IT-Appnweb Solutions, Gurgaon",0
"IT-Asite Solution Pvt. Ltd, Ahmedabad",0
"IT-Bhaskaracharya Institute For Space Applications And Geoinformatic, Gandhinagar",0
"IT-Cateina Technologies Pvt. Ltd., Mumbai",0
"IT-Centre For Development Of Imaging Technology, Trivandrum",0
"IT-Centre for Railway Information Systems, New Delhi",0
"IT-ClassHop Technologies Pvt. Ltd., New Delhi",0
"IT-Convergent Technologies, Gurgaon",0
"IT-Cordiso Technologies Pvt. Ltd., Pune",0
"IT-COUTURE AI PVT LTD., , Bangalore",0
"IT-Department of Planning, Statistics and Program Implementation, Kolkata",0
"IT-District Collector Office, Dhule",0
"IT-Ebek Language Laboratories Pvt. Ltd., Chennai",0
"IT-Edifecs Technologies Private Ltd., Mohali",0
"IT-EgnifyTechnologies, Hyderabad",0
"IT-Eliptico IT Solutions Pvt. Ltd., Hyderabad",0
"IT-Enixta Innovations Pvt. Ltd., Hyderabad",0
"IT-Geomitra Solutions LLP, Nagpur",0
"IT-Happiest Minds, Bangalore",0
"IT-Headout, Bangalore",0
"IT-Helix Tech., Goa",0
"IT-Heraizen Technologies Pvt. Ltd., Bangalore",0
"IT-Hexagon Capability Center India Pvt. Ltd. , Hyderabad",0
"IT-Homi Bhabha Centre For Science Education, Mumbai",0
"IT-IDS Infotech Ltd, Mohali",0
"IT-Indian meteorological department, Pune",0
"IT-Infibeam Avenues Ltd., Gandhinagar",0
"IT-Innoviti Payment Solutions Pvt. Ltd., Bangalore",0
"IT-IT Department, Government of Rajasthan, Jaipur",0
"IT-iUtkarsh Methodologies and Services Pvt. Ltd., Jaipur",0
"IT-Kalyani Centre for Technology and Innovation, Hyderabad",0
"IT-Khyatch Consulting Pvt. Ltd., Bangalore",0
"IT-Kizora Software Pvt. Ltd., Nagpur",0
"IT-Liveweaver India Pvt.Ltd, Pune",0
"IT-MapMyIndia, Delhi",0
"IT-Metarain Distributors Pvt Ltd, Bangalore",0
"IT-Metron Labs Software Technologies Pvt. Ltd., Bangalore",0
"IT-NALCO, Bhubaneswar",0
"IT-Oil and Natural Gas Corporation Ltd, Delhi",0
"IT-Parinati Solutions Private Limited, Goa",0
"IT-PASFEX Technologies Pvt. Ltd., Bangalore",0
"IT-Pass Consulting, Hyderabad",0
"IT-Race2Cloud Technologies Pvt. Ltd., Bangalore",0
"IT-Sen Sei Technologies, Bangalore",0
"IT-SenZopt Technologies Pvt Ltd., Bangalore",0
"IT-Smartlink Holdings Ltd, Goa",0
"IT-Sun Mobility, Bangalore",0
"IT-Sunplus System Solutions Pvt. Ltd., Bangalore",0
"IT-Tamil Nadu eGovernance Agency, Chennai",0
"IT-Telangana e-governance, Hyderabad, Hyderabad",0
"IT-Ultratech Cement Ltd, Ahura Center, Mumbai",0
